分组	编号	名称	批准日期	实施日期	官方链接
设计基础	DGJ08-20-2019	住宅设计标准	2022-10-27	2022-12-01	https://zjw.sh.gov.cn/cmsres/0a/0a2db6d53a7f419ead2ad76584ada1fc/3884665e2cbca772db93c30985f3773f.pdf
设计基础	DGJ08-11-2018	地基基础设计标准	2019-01-18	2019-08-01	https://zjw.sh.gov.cn/cmsres/61/61ce445b195840b6aecf936275a1dd4d/725ffd47336d7a09823f78f641ada513.pdf
设计基础	DG/TJ08-9-2023	建筑抗震设计标准	2023-01-12	2023-06-01	https://zjw.sh.gov.cn/cmsres/00/007f14f3eb2341ffb407844dde0ce4b2/bda7bdd4527111d51b62a369226f9ef6.pdf
设计基础	DGJ08-205-2015	居住建筑节能设计标准	2015-12-30	2016-05-01	https://zjw.sh.gov.cn/shsd/userfiles/205居住建筑节能设计标准20160504104950.pdf
设计基础	DGJ08-107-2015	公共建筑节能设计标准	2015-12-30	2016-05-01	https://zjw.sh.gov.cn/shsd/userfiles/107公共建筑节能设计标准20160504104711.pdf
设计基础	DGJ08-2143-2021	公共建筑绿色设计标准	2021-01-28	2021-06-01	https://zjw.sh.gov.cn/cmsres/fd/fd2c40e843e1417f8cad4134754dcd7e/e5abd7ff3043946324c0ce84654a6dc1.pdf
设计基础	DGJ08-2139-2021	住宅建筑绿色设计标准	2021-01-28	2021-06-01	https://zjw.sh.gov.cn/cmsres/f3/f393b7748b084324aa98ec37a68c423d/12894cd15fc07589507a6b6450115fb8.pdf
设计基础	DG/TJ08-7-2021	建筑工程交通设计及停车库（场）设置标准	2021-08-25	2022-01-01	https://zjw.sh.gov.cn/cmsres/07/079dc87c4eaa4571b5dd3f71aa729d75/e13124893c83a8b098989d0602b7ec42.pdf
设计基础	DG/TJ08-88-2021	建筑防排烟系统设计标准	2021-04-09	2021-09-01	https://zjw.sh.gov.cn/cmsres/c5/c560c9556c8f4fa499b5e4d3a60fafbc/011ab52ef7c9d5a9c63fc8eb6a160954.pdf
设计基础	DG/TJ08-56-2019	建筑幕墙工程技术标准	2019-12-05	2020-04-01	https://zjw.sh.gov.cn/cmsres/b3/b3d6916257f842788fa66c58051ac236/4b19832227aeacf7362e0df617db3429.pdf
