分组	标准名	编号	批准日期	文号	发布单位	官方链接	全文PDF	红头PDF	附件	备注
消防与人防	地质灾害危险性评估技术标准	DGJ08-2007-2016	2026-08-10	沪建标定〔2026〕343号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=b9bd3426b3d24417b01d85c1fef2be11&siteId=0011	https://zjw.sh.gov.cn/shsd/userfiles/2007地质灾害危险性评估技术规程20160620144631.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/b6/b6a72c673b364238ba3d3b2223d255ed/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9C%B0%E8%B4%A8%E7%81%BE%E5%AE%B3%E5%8D%B1%E9%99%A9%E6%80%A7%E8%AF%84%E4%BC%B0%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2016-06-01
结构与抗震	桥梁结构监测系统技术标准	DG/TJ08-2194-2016	2026-08-06	沪建标定〔2026〕283 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260806/7667667e741343a4b43684d9be964dac.html	https://zjw.sh.gov.cn/cmsres/67/674460c42d01429ca8c06b30cd1331f7/2b61c8f526e6c2510d9c5fecb2095e76.pdf		https://zjw.sh.gov.cn/cmsres/7f/7f8ca455380c4133818d05c229db8e25/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	现行标准栏目已收录/实施 2016-12-01
结构与抗震	道路隧道结构健康监测技术标准		2026-08-06	沪建标定〔2026〕280 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260806/d214cc9661e5415d8e3b34d7f62ab616.html			https://zjw.sh.gov.cn/cmsres/b7/b74c448f7e1e4104b70476a1f9a48fba/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
设备与智能化	建筑信息模型技术应用标准(港口航道工程)		2026-08-06	沪建标定〔2026〕244 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260806/3b3694d5399641e694d85d433716ec56.html			https://zjw.sh.gov.cn/cmsres/dc/dc1ea17e4e174d629b43e3c1c0e82e53/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
轨道交通与地下工程	城市轨道交通地下车站与周边连通工程设计标准		2026-08-06	沪建标定〔2026〕282 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260806/bfd5c3eb9cd043e1937edc481fe66692.html			https://zjw.sh.gov.cn/cmsres/21/21367945bec7405390c260a94ccd1de8/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
轨道交通与地下工程	城市轨道交通无障碍设施建设技术标准		2026-08-06	沪建标定〔2026〕281 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260806/1c78ad2705f94112bbae5a5baffce442.html			https://zjw.sh.gov.cn/cmsres/e4/e449a2a061d64fa1bac9f1dd15303bfb/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
设备与智能化	城镇排水泵站设计标准	DGJ08-22-2018	2026-08-05	沪建标定〔2026〕330号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=bb6f254d99284cf99de00071c33826c7&siteId=0011	https://zjw.sh.gov.cn/cmsres/67/6720573f7e764cd5b1171a810d9eff9a/99536544e0f15e5fbb8c6920c4988f21.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/cb/cb6acea04cd443b19f74818cf3aa02a1/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9F%8E%E9%95%87%E6%8E%92%E6%B0%B4%E6%B3%B5%E7%AB%99%E8%AE%BE%E8%AE%A1%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2019-8-1
装配式与外围护	装配式外挂墙板应用技术标准		2026-07-01	沪建标定〔2026〕294号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=8d4bff46a30d4de280e319f8332cc898&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/f1/f1c5ff57b34645b69d99b319f0ce1c9e/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E8%A3%85%E9%85%8D%E5%BC%8F%E5%A4%96%E6%8C%82%E5%A2%99%E6%9D%BF%E5%BA%94%E7%94%A8%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
轨道交通与地下工程	城市轨道交通工程车辆选型技术标准	DGJ08-106-2015	2026-06-08	沪建标定〔2026〕128 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260608/3e0a32a9878a446b88ad0b10c5af2637.html	https://zjw.sh.gov.cn/shsd/userfiles/106城市轨道交通工程车辆选型技术规范20151228161323.pdf		https://zjw.sh.gov.cn/cmsres/4c/4cab7fe8d38b47d687c7578d19b9e230/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	现行标准栏目已收录/实施 2015-12-01
改造与历史建筑	房屋修缮工程施工质量验收标准		2026-04-14	沪建标定〔2026〕148号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=4b8d3f626249441b9d040e08a0ca729d&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/1b/1bce437126bd460fb56356929441d0ba/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E6%88%BF%E5%B1%8B%E4%BF%AE%E7%BC%AE%E5%B7%A5%E7%A8%8B%E6%96%BD%E5%B7%A5%E8%B4%A8%E9%87%8F%E9%AA%8C%E6%94%B6%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
