编号,名称,分类,属性,实施日期,状态,官方链接,版权分层,备注
GB 55001-2021,工程结构通用规范,结构,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761192.html,A-不受著作权保护,废止 GB 50153-2008 等 8 项标准相关强条
GB 55002-2021,建筑与市政工程抗震通用规范,结构,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761174.html,A-不受著作权保护,
GB 55003-2021,建筑与市政地基基础通用规范,结构,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761185.html,A-不受著作权保护,
GB 55004-2021,组合结构通用规范,结构,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761186.html,A-不受著作权保护,
GB 55005-2021,木结构通用规范,结构,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761187.html,A-不受著作权保护,
GB 55006-2021,钢结构通用规范,结构,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761191.html,A-不受著作权保护,
GB 55007-2021,砌体结构通用规范,结构,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761188.html,A-不受著作权保护,
GB 55008-2021,混凝土结构通用规范,结构,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202110/20211013_762454.html,A-不受著作权保护,废止 GB 50010-2010 等 36 项标准相关强条
GB 55009-2021,燃气工程项目规范,设备与市政,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761173.html,A-不受著作权保护,
GB 55010-2021,供热工程项目规范,设备与市政,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761189.html,A-不受著作权保护,
GB 55011-2021,城市道路交通工程项目规范,设备与市政,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761190.html,A-不受著作权保护,
GB 55012-2021,生活垃圾处理处置工程项目规范,设备与市政,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761194.html,A-不受著作权保护,
GB 55013-2021,市容环卫工程项目规范,设备与市政,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761195.html,A-不受著作权保护,
GB 55014-2021,园林绿化工程项目规范,设备与市政,强制性,2022-01-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202107/20210715_761193.html,A-不受著作权保护,
GB 55015-2021,建筑节能与可再生能源利用通用规范,建筑,强制性,2022-04-01,现行,https://www.mohurd.gov.cn/gongkai/zhengce/zhengcefilelib/202110/20211013_762460.html,A-不受著作权保护,设计说明中最常引用的节能强规
